märus	Määrus
olliwad	oliwad
kohtu	kohtu
likmed	liikmed
seatud	seatud
päewaks	päewaks
kokku	kokku
kutsutud	kutsutud
kos	koos
olliwad	oliwad
peawanem	peawanem
jürri	Jüri
karja	Karja
xxx	xxx
kõrwasmes	kõrwasmees
mart	Mart
jõk	Jõk
xxx	xxx
mihkel	Mihkel
pett	Pett
xxx	xxx
kirjutaja	kirjutaja
joh	Joh
mets	Mets
es	Ees
polnud	polnud
middagi	midagi
1889	1889
asta	aasta
arru	Aru
leht	leht
mitu	Mitu
mesterahwa	meesterahwa
hinge	hinge
501	501
mitu	Mitu
naesterahwa	naesterahwa
hinge	hinge
646	646
summa	summa
1147	1147
hinge	hinge
mitu	Mitu
koggukonna	kogukonna
kohtumest	kohtumeest
3	3
nende	Nende
palk	palk
rahha	raha
arru	aru
järrel	järel
24	24
rubla	Rubla
mitu	Mitu
korda	korda
kohhus	kohus
kos	koos
olnud	olnud
20	20
korda	korda
mitu	Mitu
korda	korda
ennam	enam
kui	kui
üks	üks
kord	kord
näddalas	nädalas
mitu	Mitu
riu	riiu
asja	asja
on	on
selletud	seletud
2	2
mitu	Mitu
asja	asja
selletud	seletud
mis	mis
mitte	mitte
riu	riiu
asjad	asjad
ei	ei
olle	ole
10	10
mitme	Mitme
asjade	asjade
ülle	üle
on	on
trahwid	trahwid
mõistetud	mõistetud
3	3
summa	Summa
kohtu	kohtu
asjade	asjade
ülle	üle
12	12
mitu	Mitu
kohtu	kohtu
asja	asja
on	on
surema	suurema
kohtu	kohtu
ette	ette
nõutud	nõutud
3	3
mis	Mis
trahwid	trahwid
on	on
mõistetud	mõistetud
a	a
ihhunuhtlust	ihunuhtlust
b	b
wangitrahwi	wangitrahwi
1	1
c	c
rahhatrahwi	rahatrahwi
2	2
mis	Mis
ned	need
trahwid	trahwid
rahaks	rahaks
arwatud	arwatud
wälja	wälja
tewad	teewad
2	2
rubla	rubla
mitu	Mitu
asja	asja
on	on
walla	walla
kohtu	kohtu
selletud	seletud
9	9
mitu	mitu
asja	asja
on	on
walla	walla
kohtus	kohtus
poleli	pooleli
jänud	jäänud
kohtuwanem	Kohtuwanem
jürri	Jüri
karja	Karja
kõrwasmes	kõrwasmees
mart	Mart
jõk	Jõk
mihkel	Mihkel
pett	Pett
kirjutaja	kirjutaja
joh	Joh
mets	Mets
kohtu	Kohtu
ette	ette
astus	astus
kaebaja	kaebaja
paistaku	Paistaku
simukustas	SiimuKustas
wiht	Wiht
ja	ja
kaebas	kaebas
et	et
temma	tema
paistaku	Paistaku
perremehhe	peremehe
hans	Hans
wiht'i	Wiht'i
käest	käest
on	on
paistaku	Paistaku
kohhaga	kohaga
wäikse	wäikse
simu	Siimu
kohha	koha
on	on
ärra	ära
ostnud	ostnud
ja	ja
on	on
200	200
rbl	rbl
kaks	kaks
sadda	sada
rubla	rubla
rahha	raha
sisse	sisse
maksnud	maksnud
nüd	nüüd
olla	olla
agga	aga
nõnda	nõnda
nähha	näha
kui	kui
teks	teeks
hans	Hans
wiht	Wiht
sedda	seda
ostmise	ostmise
kaupa	kaupa
tühjaks	tühjaks
olla	olla
temma	tema
krundist	krundist
ilma	ilma
temma	tema
lubbata	lubata
ni	nii
palju	palju
heinamat	heinamat
ärra	ära
wõtnud	wõtnud
kust	kust
arwata	arwata
30	30
heinu	heinu
sab	saab
ette	Ette
sai	sai
kutsutud	kutsutud
hans	Hans
wiht	Wiht
temma	tema
tunnistas	tunnistas
et	et
se	see
ostmise	ostmise
kaup	kaup
neil	neil
kül	kül
korra	korra
olla	olla
olnud	olnud
agga	aga
kustas	Kustas
wiht	Wiht
olla	olla
ostmise	ostmise
kaubast	kaubast
ärra	ära
tagganenud	taganenud
ue	ue
ellumajja	elumaja
ehhitamise	ehitamise
pärast	pärast
ta	ta
polle	pole
tahtnud	tahtnud
sedda	seda
kullu	kulu
kanda	kanda
ja	ja
on	on
rendi	rendi
peale	peale
jänud	jäänud
nüd	Nüüd
olliwad	oliwad
nad	naad
seltsis	seltsis
sedda	seda
ellu	elu
majja	maja
ülles	üles
ehhitanud	ehitanud
ja	ja
kustas	Kustas
wiht	Wiht
maksnud	maksnud
temmale	temale
renti	renti
50	50
rbl	rbl
10	10
rbl	rbl
arwanud	arwanud
temma	tema
200	200
rubla	rubla
intressidest	intressidest
ja	ja
40	40
rbla	rbla
maksnud	maksnud
kustas	Kustas
wiht	Wiht
wel	weel
jure	juure
pitkema	Pitkema
ülle	üle
kulamisel	kuulamisel
sai	sai
se	see
awwalikuks	awwalikuks
et	et
kustas	Kustas
wiht	Wiht
ostu	ostu
kaubast	kaubast
tagganenud	taganenud
ja	ja
rendi	rendi
peal	peal
olli	oli
kustas	Kustas
wiht	Wiht
agga	aga
nõudis	nõudis
kui	kui
ta	ta
kewwade	kewade
1887a	1887a
sealt	sealt
piddi	pidi
wälja	wälja
minnema	minema
et	et
ta	ta
pole	poole
ellumajja	elumaja
ehhituse	ehituse
tö	töö
kullu	kulu
piddi	pidi
walja	walja
makstud	makstud
sama	saama
sedda	Seda
sai	sai
ka	kaa
õigeks	õigeks
arwatud	arwatud
ja	ja
hans	Hans
wiht	Wiht
lubbas	lubas
sedda	seda
ka	kaa
maksta	maksta
sealt	sealt
sadik	saadik
kus	kus
õige	õige
on	on
majja	Maja
sai	sai
ilma	ilma
takserimatta	takseerimatta
arwatud	arwatud
150	150
rubla	rubla
se	see
ehhituse	ehituse
tö	töö
kullu	kulu
sellest	sellest
pole	poole
rahha	raha
se	see
on	on
75	75
rubla	rubla
piddi	pidi
hans	Hans
wihtkustas	WihtKustas
wiht'ile	Wiht'ile
wälja	wälja
maksma	maksma
ja	ja
peale	peale
selle	selle
13	13
rubla	rubla
40	40
cop	Cop
katuse	katuse
õlge	õlge
est	eest
mis	mis
kustas	Kustas
wiht	Wiht
omma	oma
rahha	raha
est	eest
on	on
ostnud	ostnud
summa	Summa
88	88
rubla	rubla
40	40
cop	Cop
se	see
rahha	raha
piddi	pidi
ta	ta
kustas	Kustas
wiht'ile	Wiht'ile
märzi	Märzi
ku	kuu
essimeste	esimeste
päwade	pääwade
ses	sees
1887	1887
wälja	wälja
maksma	maksma
se	See
200	200
rubla	rubla
mis	mis
kustas	Kustas
wiht	Wiht
ostu	ostu
kaupa	kaupa
tehhes	tehes
on	on
hans	Hans
wiht'ile	Wiht'ile
sisse	sisse
maksnud	maksnud
peab	peab
hans	Hans
wiht	Wiht
temmale	temale
künla	Küünla
päwaks	pääwaks
1887	1887
wälja	wälja
maksma	maksma
kohhus	Kohus
mõistis	mõistis
et	et
ned	need
heinad	heinad
mis	mis
hans	Hans
wiht	Wiht
selle	selle
heinama	heinamaa
pealt	pealt
on	on
sanud	saanud
mis	mis
ta	ta
kustas	Kustas
wiht'i	Wiht'i
heinama	heinama
jäost	jäost
on	on
ärra	ära
wõtnud	wõtnud
peab	peab
kustas	Kustas
wiht'ile	Wiht'ile
taggasi	tagasi
maksma	maksma
se	see
on	on
30	30
leisikast	leisikast
heinu	heinu
künla	Küünla
päwaks	pääwaks
1887a	1887a
peawad	peawad
ned	need
heinad	heinad
makstud	makstud
ollema	olema
kohtu	Kohtu
wannem	wanem
k. ojasson	K. Ojasson
allkirri	allkiri
korwames	Korwamees
jan	Jaan
umberg	Umberg
kohtu	Kohtu
järgmes	järgmees
kustas	Kustas
ermann	Ermann
kirjutaja	Kirjutaja
mihkel	Mihkel
krup	Kruup
allkirri	allkiri
kohtu	Kohtu
ette	ette
astus	astus
jakob	Jakob
pelmannsonistest	PeelmannSonistest
ja	ja
kaebas	kaebas
et	et
temma	tema
on	on
jan	Jaan
welber	Welber
iellama	iEllama
nurga	Nurga
perremehhe	peremehe
jures	juures
tenimas	teenimas
olnud	olnud
14	14
nädalat	nädalat
peale	peale
pole	poole
jürri	Jüri
päwa	pääwa
ette	Ette
sai	sai
kutsutud	kutsutud
jan	Jaan
welber	Welber
ja	ja
temmal	temal
kulatud	kuulatud
miks	miks
temma	tema
se	see
palk	palk
kinni	kinni
peab	peab
temmal	temal
ei	ei
olnud	olnud
ühtegi	ühtegi
asja	asja
seks	seks
kinni	kinni
piddamise	pidamise
põhjuseks	põhjuseks
kohhus	Kohus
mõistis	mõistis
et	et
ta	ta
peab	peab
jakob	Jakob
pelmann'ile	Peelmann'ile
se	see
kinni	kinni
petud	peetud
palk	palk
15	15
rubla	rubla
wälja	wälja
maksma	maksma
kaebas	Kaebas
kohtu	kohtu
es	ees
sealõppe	Sealõppe
perremes	peremees
jürri	Jüri
kraut	Kraut
et	et
temma	tema
olla	olla
walla	walla
maksusid	maksusid
sest	sest
ajast	ajast
sadik	saadik
kui	kui
ta	ta
kohha	koha
on	on
ostnud	ostnud
20ne	20ne
asta	aasta
est	eest
rohkem	rohkem
maksnud	maksnud
kui	kui
temmal	temal
õigus	õigus
on	on
olnud	olnud
maksta	maksta
sest	sest
temma	tema
olla	olla
ni	nii
samma	sama
palju	palju
maksnud	maksnud
kui	kui
rentnikud	rentnikud
ni	Nii
kui	kui
postimona	postimoona
mandi	maandi
sillad	sillad
ja	ja
kirrikumaksud	kirikumaksud
kohhus	Kohus
ei	ei
wõinud	wõinud
temmale	temale
selle	selle
nõudmise	nõudmise
peale	peale
kohhe	kohe
wastust	wastust
anda	anda
assi	asi
jai	jai
tullewa	tulewa
kohtu	kohtu
pawasse	paawasse
temmale	temale
selle	selle
peale	peale
wastust	wastust
anda	anda
kohtu	Kohtu
wannem	wanem
k. ojasson	K. Ojasson
allkirri	allkiri
korwames	Korwamees
hans	Hans
wiht	Wiht
jan	Jaan
umberg	Umberg
kirjutaja	Kirjutaja
mihkel	Mihkel
krup	Kruup
allkirri	allkiri
i	I
ette	Ette
tulli	tuli
wõnnu	Wõnnu
walla	walla
lige	liige
mihkel	Mihkel
all	All
ja	ja
kaebas	kaebas
ma	Ma
andsin	andsin
mihkel	Mihkel
kärsale	Kärsale
kes	kes
kirimäel	Kirimäel
ellab	elab
1	1
wakama	wakamaa
kartuhwlimad	kartuhwlimaad
kaupa	kaupa
teggin	tegin
ma	ma
temma	tema
naese	naese
naese	naese
wenna	wenna
willem	Willem
jurr´iga	Jurr´iga
ta	ta
lubbas	lubas
mulle	mulle
selle	selle
est	eest
2	2
rubla	rubla
maksta	maksta
agga	aga
ei	ei
olle	ole
sit	siit
sadik	saadik
maksnud	maksnud
astus	Astus
ette	ette
mihkel	Mihkel
kärsa	Kärsa
ja	ja
räkis	rääkis
wälja	wälja
minna	Mina
ei	ei
olle	ole
sedda	seda
matükki	maatükki
silmaga	silmaga
näinud	näinud
egga	ega
kaubelnud	kaubelnud
emma	ema
on	on
sedda	seda
kaubelnud	kaubelnud
temma	tema
peab	peab
sedda	seda
wälja	wälja
maksma	maksma
tulli	Tuli
ette	ette
willem	Willem
jurr	Jurr
ja	ja
rakis	raakis
minna	Mina
käisin	käisin
küll	küll
mihkel	Mihkel
all	All
jures	juures
agga	aga
minne	mine
ei	ei
olle	ole
sedda	seda
matükki	maatükki
kaubelnud	kaubelnud
waid	waid
emma	ema
on	on
sedda	seda
kaubelnud	kaubelnud
minna	mina
maksan	maksan
sedda	seda
wälja	wälja
kohhus	Kohus
teggi	tegi
otsuseks	otsuseks
et	et
ta	ta
peab	peab
sedda	seda
14	14
päewa	päewa
pärast	pärast
wälja	wälja
maksma	maksma
kohtu	Kohtu
es	ees
olli	oli
õienda	õienda
1886	1886
asta	aasta
29.	29.
julli	Juli
ku	kuu
päwa	pääwa
assi	asi
riakülla	Riakülla
jani	Jaani
armanni	Armanni
kinni	kinni
panded	panded
te	tee
pärast	pärast
krl	Krl
kullama	Kullama
kihhelkonna	kihelkonna
kohtus	kohtus
olli	oli
temmale	temale
otsus	otsus
ette	ette
loetud	loetud
et	et
ta	ta
peab	peab
te	tee
lahti	lahti
teggema	tegema
agga	aga
ta	ta
ütles	ütles
kohtu	kohtu
es	ees
ma	ma
ei	ei
te	tee
mitte	mitte
ei	ei
kulandki	kuulandki
mis	mis
kohhus	kohus
temmale	temale
tahtis	tahtis
räkida	rääkida
ütles	ütles
jummalaga	jumalaga
ja	ja
läks	läks
uksestwälja	uksestwälja
kohtu	Kohtu
kõrwa	kõrwa
mes	mees
ja	ja
wollimes	wolimees
laksid	laksid
tale	taale
järrele	järele
tedda	teda
taggasi	tagasi
kutsuma	kutsuma
selle	Selle
sure	suure
kanguse	kanguse
ja	ja
endiste	endiste
wasta	wasta
pannemiste	panemiste
pärast	pärast
mõistis	mõistis
kohhus	kohus
temmale	temale
5	5
rbl	rbl
trahwi	trahwi
agga	Aga
temma	tema
ütles	ütles
kohtu	Kohtu
es	ees
minna	mina
ei	ei
maksa	maksa
mitte	mitte
üks	üks
koppik	koppik
sis	Siis
ütles	ütles
kohhus	kohus
temmale	temale
et	et
ta	ta
piddi	pidi
sell	sell
sammal	samal
17.	17.
aprillil	Aprillil
pärast	pärast
lounat	lounat
koddu	kodu
ollema	olema
et	et
temma	tema
warast	warast
piddi	pidi
sama	saama
middagi	midagi
kinni	kinni
pandud	pandud
ühhe	ühe
seatud	seatud
terminiks	terminiks
et	et
kui	kui
ta	ta
ei	ei
maksa	maksa
temma	tema
kinni	kinni
pandud	pandud
warast	warast
sis	siis
selle	selle
rahha	raha
est	eest
middagi	midagi
mädud	määdud
sab	saab
kohtuwanem	Kohtuwanem
k. ojasson	K. Ojasson
allkirri	allkiri
korwames	Korwamees
ans	Ans
wiht	Wiht
allkirri	allkiri
jan	Jaan
umberg	Umberg
allkirri	allkiri
kirjutaja	Kirjutaja
m	M
krup	Kruup
allkirri	allkiri
ette	Ette
tulli	tuli
perremes	peremees
jürri	Jüri
kraut	Kraut
kohhus	kohus
andis	andis
temmale	temale
minnewa	minewa
kohtu	kohtu
päwal	pääwal
sisse	sisse
kaebatud	kaebatud
asja	asja
peale	peale
wastust	wastust
ja	ja
nimelt	nimelt
nonda	nonda
et	Et
jürri	Jüri
kraut'il	Kraut'il
ei	ei
olle	ole
nende	nende
maksude	maksude
ülle	üle
wallast	wallast
middagi	midagi
taggasi	tagasi
maksu	maksu
pärimist	pärimist
sest	sest
kui	kui
ta	ta
kohha	koha
ostis	ostis
oleks	oleks
ta	ta
piddanud	pidanud
omma	oma
maksude	maksude
asjad	asjad
õiendama	õiendama
ja	ja
nende	nende
ülle	üle
kergitust	kergitust
nõudma	nõudma
et	et
ta	ta
sedda	seda
polle	pole
teinud	teinud
sis	siis
ei	ei
wõi	wõi
kohhus	kohus
sedda	seda
rohkem	rohkem
maksu	maksu
kellegi	kellegi
peale	peale
panna	panna
et	et
se	see
temmale	temale
taggasimakstud	tagasimakstud
saks	saaks
kohtuwanem	Kohtuwanem
k. ojasson	K. Ojasson
allkirri	allkiri
korwames	Korwamees
hans	Hans
wiht	Wiht
kohtu	Kohtu
järgmes	järgmees
kustas	Kustas
ermann	Ermann
kirjutaja	Kirjutaja
mihkel	Mihkel
krup	Kruup
allkirri	allkiri
i	II
tulli	Tuli
ette	ette
jan	Jaan
lints	Lints
wõnnu	Wõnnu
walla	walla
lige	liige
ja	ja
kaebas	kaebas
minna	Mina
teggin	tegin
hans	Hans
allmannile	Allmannile
kes	kes
wõnnu	Wõnnu
mõisas	mõisas
ellab	elab
1	1
kirwe	kirwe
se	see
maksis	maksis
60	60
kopik	kopik
ma	ma
ollen	olen
kakskord	kakskord
näinud	näinud
temma	tema
käest	käest
rahha	raha
samas	saamas
agga	aga
te	te
ei	ei
maksa	maksa
ärra	ära
nüd	nüüd
ma	ma
nõuan	nõuan
ka	ka
nende	nende
reiside	reiside
est	eest
40	40
kop	kop
et	Et
hans	Hans
allman	Allman
tänna	täna
sin	siin
ei	ei
olle	ole
jäb	jääb
se	see
assi	asi
eestulewaks	eestulewaks
kohtu	kohtu
päewaks	päewaks
selletada	seletada
se	see
on	on
29	29
januaril	Januaril
1890.	1890.
a.	a.
ii	III
astus	Astus
ette	ette
lisa	Liisa
ussild	Uussild
jürri	Jüri
lesk	lesk
ja	ja
andis	andis
ülles	üles
omma	oma
surnud	surnud
mehhe	mehe
järrele	järele
jänud	jäänud
warra	wara
ja	ja
omma	oma
warra	wara
mis	mis
tal	tal
mehhele	mehele
minnes	minnes
olnud	olnud
kui	Kui
ma	ma
jürri	Jüri
ussildile	Uussildile
naeseks	naeseks
läksin	läksin
olli	oli
minnu	minu
kasa	kaasa
warra	wara
1	1
lehm	lehm
1	1
riete	riiete
kerst	kerst
ja	ja
3	3
lammast	lammast
warra	Wara
on	on
praegu	praegu
wel	weel
järrel	järel
40	40
rubla	rubla
rahha	raha
1	1
riete	riiete
kerst	kerst
2	2
lehma	lehma
8	8
lammast	lammast
1	1
kahheastane	kaheaastane
mullik	mullik
3	3
seapõrsast	seapõrsast
2	2
pu	puu
2	2
wilja	wilja
1	1
kahheämbrine	kaheämbrine
padda	pada
1	1
ämbrine	ämbrine
padda	pada
1	1
käi	käi
3	3
wanna	wana
wikatid	wikatid
1	1
reggi	regi
1	1
raudwanker	raudwanker
2	2
heina	heina
hangu	hangu
2	2
sõnniku	sõnniku
hangu	hangu
1	1
kirwes	kirwes
1	1
pirunuga	piirunuga
1	1
wannad	wanad
schleid	schleid
3	3
jannu	janu
kirnu	kirnu
ja	ja
1	1
õliwat	õliwaat
wõllad	Wõlad
on	on
mõisa	Mõisa
rent	rent
20	20
rubla	rubla
hans	Hans
kopelmanil	Kopelmanil
anda	anda
75	75
kop	kop
jan	Jaan
ussildile	Uussildile
50	50
issa	isa
pusärgi	puusärgi
laudade	laudade
est	eest
1	1
50	50
jula	Juula
ussildile	Uussildile
5	5
issa	isa
matmise	matmise
kullu	kulu
3	3
50	50
summa	Summa
31	31
rbl	rbl
25	25
kop	kop
wilja	Wilja
on	on
wel	weel
ni	nii
palju	palju
järrel	järel
et	et
jüripäewani	Jüripäewani
süa	süüa
same	saame
meil	Meil
olli	oli
üllepea	ülepea
8	8
last	last
ja	ja
muist	muist
on	on
jubba	juba
omma	oma
jäu	jäu
kätte	kätte
sanud	saanud
issa	isa
warast	warast
ja	ja
ei	ei
sowi	soowi
ennam	enam
issa	isa
warajägamisest	warajägamisest
ossa	osa
sada	saada
ja	ja
ned	need
on	on
1	1
anna	Anna
2	2
marri	Mari
3	3
lisu	Liisu
4	4
annu	Anu
5	5
hansa	Hansa
warra	Wara
nimmetus	nimetus
mis	mis
kegi	keegi
neist	neist
üllewal	ülewal
nimmetud	nimetud
lastest	lastest
on	on
sanud	saanud
1	1
anna	Anna
sai	sai
1	1
lehm	lehm
1	1
riete	riiete
kerst	kerst
ja	ja
1	1
lammas	lammas
2	2
marri	Mari
sai	sai
1	1
lehm	lehm
1	1
riete	riiete
kerst	kerst
ja	ja
2	2
lammast	lammast
3	3
lisu	Liisu
sai	sai
1	1
lehm	lehm
1	1
riete	riiete
kerst	kerst
ja	ja
2	2
lammast	lammast
4.	4.
annu	Anu
sai	sai
1	1
lehm	lehm
1	1
riete	riiete
kerst	kerst
ja	ja
2	2
lammast	lammast
5	5
hans	Hans
sai	sai
1	1
raudwanker	raudwanker
ja	ja
2	2
lammast	lammast
ühtegi	Ühtegi
ep	ep
olle	ole
wel	weel
sanud	saanud
1	1
willem	Willem
2	2
jula	Juula
3	3
lena	Leena
se	See
assi	asi
jäb	jääb
eestulewaks	eestulewaks
kohtu	kohtu
päewaks	päewaks
selletada	seletada
et	et
kõik	kõik
tunnistus	tunnistus
meste	meeste
läbbi	läbi
selgeks	selgeks
sab	saab
tehtud	tehtud
alla	Alla
kirjutus	kirjutus
peawanem	Peawanem
jürri	Jüri
karja	Karja
xxx	xxx
kõrwasmes	kõrwasmees
mart	Mart
jõk	Jõk
xxx	xxx
mihkel	Mihkel
pett	Pett
xxx	xxx
kirjutaja	kirjutaja
joh	Joh
mets	Mets
ette	Ette
kutsutud	kutsutud
sai	sai
sindi	Sindi
mes	mees
jan	Jaan
jakobson	Jakobson
kes	kes
pühapäew	pühapäew
õhtul	õhtul
4.	4.
novvembril	Novembril
s	s
a.	a.
sindi	Sindi
mõisa	mõisa
kõrtsist	kõrtsist
tülli	tüli
teggemise	tegemise
pärast	pärast
walla	walla
wangi	wangi
maeasse	maeasse
kinni	kinni
todud	toodud
sai	sai
kus	kus
jures	juures
temma	tema
walla	walla
wahhemehhe	wahemehe
käest	käest
walla	walla
lambi	lambi
mis	mis
2.50	2.50
kopik	kopik
maksab	maksab
melega	meelega
mahha	maha
ja	ja
sega	seega
puruks	puruks
lõi	lõi
ning	ning
peale	peale
selle	selle
kui	kui
pandud	pandud
olli	oli
wangimaeas	wangimaeas
maggamise	magamise
ramidega	raamidega
wasto	wasto
ust	ust
rohkeste	rohkeste
tund	tund
aega	aega
põrrutas	põrutas
ni	nii
et	et
kõik	kõik
lubbi	lubi
wangi	wangi
maea	maea
seinde	seinde
praggude	pragude
wahelt	wahelt
mahha	maha
langes	langes
ja	ja
pea	pea
ka	ka
ukse	ukse
mahha	maha
lönud	löönud
oleks	oleks
mispärast	mispärast
kolm	kolm
mest	meest
tedda	teda
walwama	walwama
pandud	pandud
saiwad	saiwad
ja	ja
kelledele	kelledele
150	150
kop	kop
wahtimise	wahtimise
palgaks	palgaks
maksetud	maksetud
sai	sai
ning	ning
wastas	wastas
jan	Jaan
jakobson	Jakobson
et	et
temma	tema
sedda	seda
wallu	walu
ja	ja
wihha	wiha
pärast	pärast
teinud	teinud
olla	olla
mis	mis
peale	peale
kohhus	kohus
mõistuse	Mõistuse
teggi	tegi
jan	Jaan
jakobson	Jakobson
sab	saab
30	30
hopi	hoopi
witsu	witsu
selle	selle
röwle	rööwle
kombel	kombel
ennast	ennast
wangi	wangi
maeas	maeas
ülles	üles
piddamise	pidamise
est	eest
ja	ja
maksab	maksab
4	4
rubla	rubla
kahjutasumist	kahjutasumist
8	8
päewa	päewa
pärast	pärast
30	30
hopi	hoopi
witsu	witsu
sai	sai
kohhe	kohe
kätte	kätte
antud	antud
esistnik	Eesistnik
jurri	Juri
pusse	Pusse
xxx	XXX
kohtumes	Kohtumees
jak	Jaak
nerjussow	Nerjussow
xxx	XXX
kohtumes	Kohtumees
tõnnis	Tõnis
kuller	Kuller
xxx	XXX
i	I
tulli	Tuli
ette	ette
willem	Willem
ussild	Uussild
surnu	surnu
jurri	Juri
ussildi	Uussildi
warra	wara
pärria	päria
ja	ja
kaebas	kaebas
minnu	Minu
õdde	õde
lena	Leena
ussild	Uussild
müs	müüs
minnu	minu
issa	isa
hobbuse	hobuse
ärra	ära
ehmja	Ehmja
mehhe	mehe
jan	Jaan
sarele	Saarele
ja	ja
ütleb	ütleb
et	et
ta	ta
on	on
30	30
rubla	Rubla
selle	selle
hobbuse	hobuse
est	eest
sanud	saanud
agga	aga
jan	Jaan
sar	Saar
ütles	ütles
minnu	minu
wastu	wastu
et	et
ta	ta
olla	olla
40	40
rbulla	Rbula
selle	selle
hobbuse	hobuse
est	eest
maksnud	maksnud
ette	Ette
astus	astus
kaebtuse	kaebtuse
allune	alune
lena	Leena
ussild	Uussild
ja	ja
ütles	ütles
minna	Mina
sain	sain
ehmja	Ehmja
mehhe	mehe
jan	Jaan
sare	Saare
käest	käest
30	30
rubla	rubla
hobbuse	hobuse
est	eest
jan	Jaan
ussild	Uussild
olli	oli
minnuga	minuga
seltsis	seltsis
ja	ja
wõttis	wõttis
rahha	raha
wastu	wastu
ja	ja
andis	andis
minnu	minu
kätte	kätte
tulli	Tuli
ette	ette
jan	Jaan
ussild	Uussild
ja	ja
räkis	rääkis
meie	Meie
müsime	müüsime
selle	selle
hobbuse	hobuse
jan	Jaan
wellmannile	Wellmannile
30	30
rubla	Rubla
est	eest
agga	aga
jan	Jaan
wellman	Wellman
müs	müüs
sedda	seda
host	hoost
ehmja	Ehmja
mehhe	mehe
jan	Jaan
sarele	Saarele
40	40
rubla	Rubla
est	eest
pärast	Pärast
tunnistas	tunnistas
jan	Jaan
usild	Uusild
meie	Meie
müsime	müüsime
sedda	seda
host	hoost
isse	ise
lena	Leena
uussild´iga	Uussild´iga
jan	Jaan
sarele	Saarele
40	40
rubla	Rubla
est	eest
astus	Astus
ette	ette
hobbuse	hobuse
ostja	ostja
jan	Jaan
sar	Saar
ja	ja
räkis	rääkis
wälja	wälja
minna	Mina
maksin	maksin
selle	selle
hobbuse	hobuse
est	eest
40	40
rubla	Rubla
jan	Jaan
usildi	Uusildi
kätte	kätte
sedda	seda
näggi	nägi
ka	ka
lena	Leena
usild	Uusild
kes	kes
temmaga	temaga
seltsis	seltsis
olli	oli
agga	aga
minna	mina
nõuan	nõuan
omma	oma
päewa	päewa
ärra	ära
bitmise	biitmise
est	eest
50	50
kopik	kopik
teist	Teist
korda	korda
sai	sai
ette	ette
kutsutud	kutsutud
lena	Leena
ussild	Uussild
ja	ja
küssitud	küsitud
mis	mis
sa	sa
said	said
hobbuse	hobuse
est	eest
sis	Siis
lena	Leena
ussild	Uussild
wastas	wastas
40	40
rubla	Rubla
kohtu	Kohtu
otsus	otsus
i	I
et	Et
lena	Leena
ussild	Uussild
hobbuse	hobuse
est	eest
40	40
rubla	Rubla
on	on
sanud	saanud
on	on
temma	tema
ennese	enese
vimse	viimse
ütlemise	ütlemise
ja	ja
tunnistus	tunnistus
meste	meeste
ütlemiste	ütlemiste
järrel	järel
selge	selge
agga	aga
et	et
temma	tema
essite	esite
salgas	salgas
ja	ja
kohtu	kohtu
es	ees
awwalikult	awalikult
walletas	waletas
mõistis	mõistis
kohhus	kohus
tedda	teda
nuhtluse	Nuhtluse
sead	sead
1885.	1885.
a.	a.
943	943
järrel	järel
arresti	aresti
alla	alla
24	24
tundi	tundi
ja	ja
peale	peale
selle	selle
mõistis	mõistis
tundub	tundub
et	et
üks	üks
järgnev	järgnev
diggileht	digileht
on	on
vahhele	vahele
jänud	jäänud
sissestaja	sisestaja
kommentar	kommentaar
i	I
ette	Ette
tulli	tuli
wõnnu	Wõnnu
walla	walla
lige	liige
jürri	Jüri
wai	Wai
ja	ja
kaebas	kaebas
minna	Mina
wisin	wiisin
selle	selle
süggise	sügise
2	2
asta	aasta
est	eest
omma	oma
2	2
lamba	lamba
nahka	nahka
jan	Jaan
us	Uus
si	si
kätte	kätte
parkida	parkida
kewwade	Kewade
selle	selle
järrel	järel
läksin	läksin
kätte	kätte
kätte	kätte
sama	saama
sis	siis
ei	ei
olnud	olnud
wel	weel
walmis	walmis
teise	Teise
süggise	sügise
wisin	wiisin
teisi	teisi
nahku	nahku
wel	weel
parkida	parkida
temma	tema
kätte	kätte
ja	ja
küssisin	küsisin
neid	neid
2e	2e
nahka	nahka
kätte	kätte
sis	siis
jan	Jaan
us	uus
wastas	wastas
minnu	Minu
arwates	arwates
peawad	peawad
ned	need
2	2
nahka	nahka
käes	käes
jubba	juba
ollema	olema
meil	meil
neid	neid
küll	küll
ennam	enam
ei	ei
olle	ole
tulli	Tuli
ette	ette
jan	Jaan
us	Uus
wõnnu	Wõnnu
walla	walla
lige	liige
ja	ja
räkis	rääkis
wälja	wälja
minna	Mina
wõtsin	wõtsin
küll	küll
ned	need
2	2
nahka	nahka
ennese	enese
kätte	kätte
parkida	parkida
agga	aga
minnu	minu
arwates	arwates
peawad	peawad
ned	need
jubba	juba
temma	tema
käes	käes
ollema	olema
meil	meil
neid	neid
küll	küll
ennam	enam
ei	ei
olle	ole
kohtu	Kohtu
otsus	otsus
et	Et
jürri	Jüri
wai	Wai
omma	oma
asja	asja
selle	selle
pärrimise	pärimise
asjas	asjas
ni	nii
kauaks	kauaks
on	on
jätnud	jätnud
ja	ja
kummaltki	kummaltki
polt	poolt
seks	seks
selget	selget
tunnistust	tunnistust
ei	ei
olle	ole
ette	ette
tua	tuua
kas	kas
jurri	Juri
wai	Wai
on	on
nahhad	nahad
jan	Jaan
us	Uus
si	si
