No	no	no	0		I	
      	#kohus	kohus	0		S	sg n
ütles	ütles	ütle	s		V	s
Marri	####	####				
     	#Mari	Marri	0		H	sg n
Udeküllalle	####	####				
           	#Uudeküllile	Udekül	le		H	sg all
et	et	et	0		J	
kudda	####	####				
     	#kuidas	kuidas	0		D	
meie	mina	mina	0		P	pl g
    	@meie	mina	0		P	pl n
wõisimme	####	####				
        	#võisime	või	sime		V	sime
sulle	sulle	sina	lle		P	sg all
sedda	####	####				
     	#seda	see	da		P	sg p
rahha	####	####				
     	raha	raha	0		S	sg g
     	#raha	raha	0		S	sg p
mõista	mõist	mõist	0		V	o
      	@mõista	mõist	a		V	da
sa	sa	sina	0		P	sg n
issi	issi	issi	0		S	sg g
    	issi	issi	0		S	sg n
    	£ise	ise	0		P	sg n
ütlesid	ütlesid	ütle	sid		V	sid
et	et	et	0		J	
egga	####	####				
    	#ega	ega	0		D	
    	ega	ega	0		J	
ma	ma	mina	0		P	sg n
wõi	või	või	0		D	
   	või	või	0		J	
   	või	või	0		S	sg g
   	või	või	0		S	sg n
   	või	või	0		V	o
   	£võin	või	0		V	n
sedda	####	####				
     	#seda	see	da		P	sg p
rahha	####	####				
     	raha	raha	0		S	sg g
     	#raha	raha	0		S	sg p
pärrida	####	####				
       	#pärida	päri	da		V	da
Marri	####	####				
     	#Mari	Marri	0		H	sg n
poolt	poolt	poolt	0		D	
     	@poolt	poolt	0		K	
     	pool	pool	t		N	sg p
     	pool	pool	t		S	sg p
tunnis	tund	tund	s		S	sg in
      	¤					
mees	@mees	mees	0		S	sg n
    	mesi	mesi	s		S	sg in
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Udekül	####	####				
      	#Uudeküll	Udekül	0		H	sg n
Udeküllalt	####	####				
          	#Uudekülalt	Udeküla	lt		H	sg abl
